Accession numbers         Start                  End
NC_007606.1         1374314         1380735
NC_007606.1         1598978         1603014
NC_007606.1         1729869         1765834
NC_007606.1         1808798         1830827
NC_007606.1         1918432         1924722
NC_007606.1         2202086         2234824
NC_007606.1         2563113         2585600
NC_007606.1         2651587         2659090
NC_007606.1         4178823         4218688
NC_007613.1         640205         665838
NC_007613.1         760244         790726
NC_007613.1         868813         886503
NC_007613.1         979124         1003259
NC_007613.1         1035371         1049049
NC_007613.1         1177893         1234220
NC_007613.1         1363972         1395482
NC_007613.1         1603732         1625428
NC_007613.1         1677836         1703030
NC_007613.1         1882919         1915018
NC_007613.1         2039213         2056695
NC_007613.1         2081414         2112526
NC_007613.1         2568343         2576404
NC_007613.1         4194634         4228675
NC_007613.1         640205         665838
NC_007613.1         760244         790726
NC_007613.1         868813         886503
NC_007613.1         979124         1003259
NC_007613.1         1034221         1049049
NC_007613.1         1172184         1234220
NC_007613.1         1363972         1395482
NC_007613.1         1603732         1626850
NC_007613.1         1677836         1703030
NC_007613.1         1882919         1915018
NC_007613.1         1993022         2056695
NC_007613.1         2081414         2112526
NC_007613.1         2568343         2576404
NC_007613.1         4194634         4228675
NC_007384.1         12939         19890
NC_007384.1         760456         786087
NC_007384.1         788687         804734
NC_007384.1         922455         939297
NC_007384.1         1263611         1280288
NC_007384.1         1334146         1351663
NC_007384.1         1367433         1397767
NC_007384.1         1858162         1885619
NC_007384.1         1983467         2004383
NC_007384.1         2270880         2287766
NC_007384.1         2536951         2585784
NC_007384.1         2804968         2814331
NC_007384.1         2877856         2940298
NC_007384.1         2958675         2968192
NC_007384.1         12939         19890
NC_007384.1         760456         786087
NC_007384.1         788687         804734
NC_007384.1         922455         939297
NC_007384.1         1263611         1271324
NC_007384.1         1334146         1351663
NC_007384.1         1367433         1397767
NC_007384.1         1692654         1701519
NC_007384.1         1858162         1885619
NC_007384.1         1983467         2004383
NC_007384.1         2270880         2291448
NC_007384.1         2536951         2585784
NC_007384.1         2804968         2814331
NC_007384.1         2877856         2940298
NC_007384.1         2958675         2968192
NC_010184.1         1191350         1206165
NC_010184.1         3471013         3536385
NC_010184.1         3633083         3680422
NC_007778.1         3961739         3981260
NC_010473.1         8238         20314
NC_010473.1         503310         524612
NC_010473.1         623085         636245
NC_010473.1         1341419         1377650
NC_010473.1         1484613         1522916
NC_010473.1         1716864         1753496
NC_010473.1         2157984         2167166
NC_010473.1         2556141         2567416
NC_010473.1         2847431         2867569
NC_010473.1         8238         20314
NC_010473.1         503310         524612
NC_010473.1         623085         636245
NC_010473.1         1341419         1377650
NC_010473.1         1484613         1522916
NC_010473.1         1716864         1753496
NC_010473.1         2157984         2167166
NC_010473.1         2556141         2567416
NC_010473.1         2844683         2867569
NC_009438.1         193415         207572
NC_009074.1         3797300         3832069
NC_009080.1         8951         25174
NC_009080.1         2277839         2283730
NC_006905.1         372847         409983
NC_006905.1         988949         1018013
NC_006905.1         1083457         1124633
NC_006905.1         1083457         1124633
NC_006905.1         1304586         1357344
NC_006905.1         1987290         1993029
NC_006905.1         2749431         2793713
NC_006905.1         4352610         4372952
NC_006905.1         372787         413191
NC_006905.1         988949         1018013
NC_006905.1         1083457         1124633
NC_006905.1         1304586         1357344
NC_006905.1         1987290         1993029
NC_006905.1         2749431         2793713
NC_006905.1         4352610         4372952
NC_009052.1         1444093         1498087
NC_009052.1         2507887         2544317
NC_009052.1         4211201         4249276
NC_009052.1         5026603         5031816
NC_009052.1         1444093         1498087
NC_009052.1         2507887         2544317
NC_009052.1         4211201         4249276
NC_009052.1         5026603         5031816
NC_009801.1         826792         857434
NC_009801.1         998185         1019468
NC_009801.1         1059353         1074413
NC_009801.1         1261145         1291367
NC_009801.1         1431853         1445626
NC_009801.1         1744680         1779922
NC_009801.1         2176281         2194984
NC_009801.1         2203136         2235803
NC_009801.1         3344869         3388113
NC_009801.1         826792         857434
NC_009801.1         998185         1019468
NC_009801.1         1059353         1075633
NC_009801.1         1246408         1302762
NC_009801.1         1431853         1445626
NC_009801.1         1744680         1779922
NC_009801.1         2173343         2194984
NC_009801.1         2203136         2235803
NC_009801.1         3344869         3388113
NC_009800.1         291771         335045
NC_009800.1         916890         951393
NC_009800.1         1374824         1382872
NC_009800.1         1654071         1672470
NC_009800.1         2049346         2057252
NC_009800.1         2057328         2081957
NC_009800.1         2797594         2802434
NC_009800.1         291771         335045
NC_009800.1         916890         951393
NC_009800.1         1374824         1382872
NC_009800.1         1654071         1672470
NC_009800.1         2057328         2081957
NC_009800.1         2797594         2802434
NC_008060.1         1172051         1196169
NC_009783.1         501636         543295
NC_009783.1         1159171         1169717
NC_009783.1         1951728         1969003
NC_009783.1         1971036         2009588
NC_009783.1         2303681         2316648
NC_008390.1         2023987         2070156
NC_008390.1         2649212         2669708
NC_008390.1         2669603         2691744
NC_010159.1         1262062         1274394
NC_010159.1         2145593         2150182
NC_010159.1         2268215         2299929
NC_010159.1         2485143         2511200
NC_010159.1         2732989         2742615
NC_009708.1         2514667         2557084
NC_009708.1         3304688         3318909
NC_008750.1         2831375         2887338
NC_008750.1         3308049         3342808
NC_008750.1         3352843         3377539
NC_008750.1         2348965         2366495
NC_008750.1         2831375         2887338
NC_008750.1         3308049         3342808
NC_008750.1         3352843         3377539
NC_009512.1         3778059         3828816
NC_009512.1         4600889         4659292
NC_009076.1         784693         805912
NC_009076.1         3567817         3575289
NC_009487.1         359131         404027
NC_009487.1         920541         964629
NC_009487.1         1073355         1124068
NC_009487.1         1978213         2014247
NC_009487.1         2129560         2174727
NC_009487.1         356545         404544
NC_009487.1         913651         965393
NC_009487.1         1065529         1130805
NC_009487.1         1978213         2014247
NC_009487.1         2126969         2174727
NC_009632.1         359201         404097
NC_009632.1         920416         964504
NC_009632.1         1073229         1123942
NC_009632.1         2129231         2174601
NC_009632.1         356615         404614
NC_009632.1         913526         965268
NC_009632.1         1065403         1130679
NC_009632.1         2129231         2174601
NC_008611.1         917436         929425
NC_008611.1         3755296         3764098
NC_008253.1         1181448         1238551
NC_008253.1         2677328         2683891
NC_008253.1         1181448         1238551
NC_008253.1         2677328         2683891
NC_007946.1         903605         948472
NC_007946.1         1133653         1143791
NC_007946.1         1238807         1288781
NC_007946.1         1388484         1435563
NC_007946.1         2597342         2638903
NC_007946.1         2900041         2943159
NC_007946.1         4985033         5027016
NC_007946.1         903605         948472
NC_007946.1         1133653         1143791
NC_007946.1         1238807         1288781
NC_007946.1         1388484         1435563
NC_007946.1         2597342         2638903
NC_007946.1         2900041         2943159
NC_007946.1         4987048         5048111
NC_008022.1         528592         572646
NC_008022.1         770061         810696
NC_008022.1         1240312         1296226
NC_008022.1         1825325         1898206
NC_008023.1         531467         572768
NC_008023.1         1403549         1447753
NC_008024.1         545989         589822
NC_008024.1         801328         841930
NC_008024.1         1214101         1256513
NC_008024.1         1855581         1889383
NC_008258.1         235520         239223
NC_008258.1         232722         300273
NC_008258.1         534095         540739
NC_008258.1         741145         763547
NC_008258.1         1192977         1208256
NC_008258.1         1401180         1429583
NC_008258.1         1427573         1451909
NC_008258.1         1868737         1893528
NC_008258.1         1915769         1943988
NC_008258.1         2041437         2081606
NC_008258.1         2201860         2233853
NC_008258.1         2680637         2693408
NC_008258.1         2760268         2811624
NC_008258.1         3657878         3666037
NC_008258.1         235520         239223
NC_008258.1         232722         300273
NC_008258.1         534095         540739
NC_008258.1         741145         763547
NC_008258.1         1192977         1208256
NC_008258.1         1401180         1429583
NC_008258.1         1427573         1451909
NC_008258.1         1868737         1893528
NC_008258.1         1915769         1943988
NC_008258.1         2041437         2081606
NC_008258.1         2201860         2235003
NC_008258.1         2680637         2693408
NC_008258.1         2760268         2811624
NC_008258.1         3657878         3666037
NC_009567.1         7237         22293
NC_009567.1         142670         170812
NC_009567.1         868570         925310
NC_010501.1         1438797         1479934
NC_010501.1         3034880         3045683
NC_010501.1         4352627         4395680
NC_010501.1         4452059         4475372
NC_010501.1         4790697         4800522
NC_010084.1         1984018         2030076
NC_010084.1         1984018         2030076
NC_010084.1         2506884         2528012
NC_010551.1         2611156         2628129
NC_009997.1         904241         935082
NC_009997.1         2335123         2373130
NC_009997.1         2526097         2565476
NC_009997.1         2704745         2726669
NC_009997.1         3439392         3464340
NC_009997.1         3648865         3652923
NC_009665.1         866056         908359
NC_009665.1         2200141         2228191
NC_009665.1         2481178         2525864
NC_009665.1         2725465         2740829
NC_009665.1         3038596         3083661
NC_009665.1         3991119         4022294
NC_008563.1         298716         316507
NC_008563.1         918973         957033
NC_008563.1         1178745         1226077
NC_008563.1         1338692         1371171
NC_008563.1         1467056         1519706
NC_008563.1         2046665         2099597
NC_008563.1         2259304         2282559
NC_008563.1         2570047         2611434
NC_008563.1         2738153         2782267
NC_008563.1         2739318         2782267
NC_008563.1         2915067         2958186
NC_008563.1         5000558         5054487
NC_008563.1         298716         316507
NC_008563.1         918973         957033
NC_008563.1         1178745         1226077
NC_008563.1         1338692         1371171
NC_008563.1         1467056         1519706
NC_008563.1         2046665         2099597
NC_008563.1         2259304         2282559
NC_008563.1         2570047         2611434
NC_008563.1         2738153         2782267
NC_008563.1         2915067         2958186
NC_008563.1         5000558         5054487
NC_008600.1         1215373         1235753
NC_008600.1         2364594         2374582
NC_009782.1         866486         884265
NC_009782.1         918895         963374
NC_009782.1         2084377         2130789
NC_009782.1         2132404         2154575
NC_009782.1         856416         891601
NC_009782.1         912148         963423
NC_009782.1         1949424         1964462
NC_009782.1         2071348         2130878
NC_009782.1         2132404         2154575
NC_010498.1         955625         973330
NC_010498.1         1164952         1215901
NC_010498.1         1902601         1909569
NC_010498.1         4081414         4092673
NC_010498.1         4404112         4445942
NC_010498.1         955625         973330
NC_010498.1         1164952         1215901
NC_010498.1         1902601         1909569
NC_010498.1         4081414         4092673
NC_010498.1         4404112         4445942
NC_009504.1         529294         539964
NC_007793.1         879301         899940
NC_007793.1         1538606         1601859
NC_007793.1         2085861         2130861
NC_007793.1         879301         899940
NC_007793.1         1538606         1601859
NC_007793.1         2085861         2130861
NC_010334.1         1573045         1623690
NC_010380.1         20600         115053
NC_010380.1         20600         115053
NC_010465.1         232521         256041
NC_010465.1         991968         1042944
NC_010465.1         1033230         1081858
NC_010465.1         1331575         1371200
NC_010465.1         2538245         2586852
NC_010465.1         3095683         3108606
NC_010465.1         3184958         3192465
NC_010465.1         3385457         3427459
NC_010400.1         932745         956361
NC_010400.1         1226241         1243425
NC_010400.1         1657784         1685774
NC_010400.1         2263431         2312366
NC_010400.1         2545997         2572660
NC_010400.1         3067115         3097676
NC_000913.2         8238         20314
NC_000913.2         262122         296430
NC_000913.2         563978         585280
NC_000913.2         1196090         1215894
NC_000913.2         1393976         1433075
NC_000913.2         1617581         1651939
NC_000913.2         2066976         2080571
NC_000913.2         2464376         2475651
NC_000913.2         2749817         2781326
NC_000913.2         4502081         4543096
NC_010582.1         40601         53773
NC_010582.1         40601         53773
NC_010102.1         700606         714848
NC_010102.1         901419         933341
NC_010102.1         1133524         1145396
NC_010102.1         1149143         1161212
NC_010102.1         1797770         1838350
NC_010102.1         1841763         1895442
NC_010102.1         2128021         2157105
NC_010102.1         2495160         2509053
NC_010102.1         2852787         2877332
NC_010102.1         700606         714848
NC_010102.1         901419         933341
NC_010102.1         1133524         1145396
NC_010102.1         1149143         1161212
NC_010102.1         1797770         1838350
NC_010102.1         1841763         1895442
NC_010102.1         2128021         2157105
NC_010102.1         2495160         2509053
NC_010102.1         2852787         2877332
NC_002695.1         300052         323524
NC_002695.1         892240         928363
NC_002695.1         1160230         1186416
NC_002695.1         1180157         1210641
NC_002695.1         1245903         1316397
NC_002695.1         1538645         1591830
NC_002695.1         1594704         1609934
NC_002695.1         1609996         1656529
NC_002695.1         1743556         1811656
NC_002695.1         1920485         1972367
NC_002695.1         2155111         2253837
NC_002695.1         2668007         2712036
NC_002695.1         2888774         2947429
NC_002695.1         3474905         3498417
NC_002695.1         4580800         4601341
NC_002695.1         5041814         5082381
NC_003197.1         960294         1002017
NC_003197.1         1001531         1036138
NC_003197.1         1098179         1144020
NC_003197.1         2728976         2776890
NC_003197.1         2836642         2885742
NC_003197.1         2895768         2928025
NC_003197.1         4417918         4438335
NC_003197.1         960294         1002017
NC_003197.1         1001531         1036138
NC_003197.1         1098179         1144020
NC_003197.1         2728976         2776890
NC_003197.1         2836642         2885742
NC_003197.1         2895768         2928025
NC_003197.1         4417918         4438335
NC_002947.3         1748226         1781069
NC_002947.3         2831042         2858715
NC_002947.3         3411566         3447568
NC_002947.3         4375283         4415646
NC_007297.1         981099         1029543
NC_007297.1         1143271         1179151
NC_007297.1         1385206         1429409
NC_007297.1         803518         833144
NC_007297.1         981099         1029543
NC_007297.1         1143271         1182658
NC_007297.1         1385206         1429409
NC_009085.1         1342844         1354339
NC_009085.1         1342777         1375342
NC_009085.1         2339515         2364815
NC_009256.1         1242799         1288544
NC_009256.1         1365671         1379766
NC_009256.1         1387077         1421328
NC_009256.1         2715994         2752404
NC_009256.1         3186480         3201215
NC_009256.1         3583105         3606633
NC_010410.1         548347         582474
NC_010410.1         1306306         1341726
NC_010410.1         1899037         1914977
NC_010410.1         2547338         2557743
NC_010410.1         2723095         2780088
NC_010410.1         548347         582474
NC_010410.1         1306306         1341726
NC_010410.1         1899037         1914977
NC_010410.1         2547338         2557743
NC_010410.1         2723095         2780088
AC_000091.1         8238         20314
AC_000091.1         563978         585280
AC_000091.1         1200217         1218248
AC_000091.1         1413683         1436526
AC_000091.1         1621271         1654566
AC_000091.1         2471800         2483075
