Accession numbers      Start        End         Length       Prediction method
NC_005773.3         4309001         4314000         4999         SigHunt
NC_005773.3         4475001         4480000         4999         SigHunt
NC_005773.3         4548001         4557000         8999         SigHunt
NC_005773.3         4803001         4814000         10999         SigHunt
NC_005773.3         4908001         4916000         7999         SigHunt
NC_005773.3         5172001         5182000         9999         SigHunt
NC_005773.3         5186001         5197000         10999         SigHunt
NC_005773.3         5199001         5204000         4999         SigHunt
NC_005773.3         5245001         5254000         8999         SigHunt
NC_005773.3         5490001         5495000         4999         SigHunt
NC_005773.3         5645001         5653000         7999         SigHunt
NC_005773.3         5690001         5695000         4999         SigHunt
NC_005773.3         5741001         5749000         7999         SigHunt
NC_005773.3         5753001         5761000         7999         SigHunt
NC_005773.3         5778001         5786000         7999         SigHunt
NC_007434.1         2         8000         7998         SigHunt
NC_007434.1         474001         480000         5999         SigHunt
NC_007434.1         1336001         1344000         7999         SigHunt
NC_007434.1         1543001         1551000         7999         SigHunt
NC_007434.1         1717001         1758000         40999         SigHunt
NC_007434.1         1760001         1766000         5999         SigHunt
NC_007434.1         1788001         1797000         8999         SigHunt
NC_007434.1         1835001         1855000         19999         SigHunt
NC_007434.1         1926001         1941000         14999         SigHunt
NC_007434.1         2252001         2257000         4999         SigHunt
NC_007434.1         2265001         2271000         5999         SigHunt
NC_007434.1         2397001         2406000         8999         SigHunt
NC_007434.1         2461001         2466000         4999         SigHunt
NC_007434.1         3607001         3615000         7999         SigHunt
NC_007434.1         3880001         3889000         8999         SigHunt
NC_007434.1         3982001         3991000         8999         SigHunt
NC_007434.1         4005001         4014000         8999         SigHunt
NC_007435.1         210001         217000         6999         SigHunt
NC_007435.1         222001         243000         20999         SigHunt
NC_007435.1         312001         319000         6999         SigHunt
NC_007435.1         522001         528000         5999         SigHunt
NC_007435.1         573001         578000         4999         SigHunt
NC_007435.1         627001         647000         19999         SigHunt
NC_007435.1         1085001         1091000         5999         SigHunt
NC_007435.1         1476001         1493000         16999         SigHunt
NC_007435.1         1920001         1928000         7999         SigHunt
NC_007435.1         1991001         2000000         8999         SigHunt
NC_007435.1         2322001         2332000         9999         SigHunt
NC_007435.1         2551001         2557000         5999         SigHunt
NC_007435.1         2708001         2723000         14999         SigHunt
NC_007435.1         2883001         2890000         6999         SigHunt
NC_007761.1         61001         71000         9999         SigHunt
NC_007761.1         247001         253000         5999         SigHunt
NC_007761.1         341001         348000         6999         SigHunt
NC_007761.1         687001         692000         4999         SigHunt
NC_007761.1         752001         762000         9999         SigHunt
NC_007761.1         785001         813000         27999         SigHunt
NC_007761.1         1047001         1052000         4999         SigHunt
NC_007761.1         1103001         1111000         7999         SigHunt
NC_007761.1         1119001         1126000         6999         SigHunt
NC_007761.1         1157001         1163000         5999         SigHunt
NC_007761.1         1387001         1392000         4999         SigHunt
NC_007761.1         1436001         1449000         12999         SigHunt
NC_007761.1         1691001         1701000         9999         SigHunt
NC_007761.1         1753001         1758000         4999         SigHunt
NC_007761.1         1764001         1776000         11999         SigHunt
NC_007761.1         2072001         2085000         12999         SigHunt
NC_007761.1         2440001         2448000         7999         SigHunt
NC_007761.1         2726001         2731000         4999         SigHunt
NC_007761.1         2741001         2751000         9999         SigHunt
NC_007761.1         2818001         2823000         4999         SigHunt
NC_007761.1         3053001         3060000         6999         SigHunt
NC_007761.1         3392001         3398000         5999         SigHunt
NC_007761.1         3569001         3580000         10999         SigHunt
NC_007761.1         3950001         3960000         9999         SigHunt
NC_007761.1         3967001         3977000         9999         SigHunt
NC_007761.1         4075001         4081000         5999         SigHunt
NC_007761.1         4120001         4125000         4999         SigHunt
NC_007778.1         160001         166000         5999         SigHunt
NC_007778.1         167001         172000         4999         SigHunt
NC_007778.1         858001         863000         4999         SigHunt
NC_007778.1         902001         921000         18999         SigHunt
NC_007778.1         1058001         1071000         12999         SigHunt
NC_007778.1         1115001         1120000         4999         SigHunt
NC_007778.1         1442001         1448000         5999         SigHunt
NC_007778.1         1542001         1550000         7999         SigHunt
NC_007778.1         1791001         1797000         5999         SigHunt
NC_007778.1         1846001         1868000         21999         SigHunt
NC_007778.1         2348001         2355000         6999         SigHunt
NC_007778.1         2484001         2492000         7999         SigHunt
NC_007778.1         2577001         2593000         15999         SigHunt
NC_007778.1         2636001         2641000         4999         SigHunt
NC_007778.1         2902001         2908000         5999         SigHunt
NC_007778.1         2961001         2971000         9999         SigHunt
NC_007778.1         3470001         3477000         6999         SigHunt
NC_007778.1         3478001         3493000         14999         SigHunt
NC_007778.1         3562001         3568000         5999         SigHunt
NC_007778.1         3790001         3807000         16999         SigHunt
NC_007778.1         3977001         3988000         10999         SigHunt
NC_007778.1         4040001         4046000         5999         SigHunt
NC_007778.1         4355001         4360000         4999         SigHunt
NC_007778.1         4391001         4397000         5999         SigHunt
NC_007778.1         4699001         4704000         4999         SigHunt
NC_007778.1         4818001         4828000         9999         SigHunt
NC_007778.1         5083001         5092000         8999         SigHunt
NC_007778.1         5108001         5115000         6999         SigHunt
NC_007958.1         13001         21000         7999         SigHunt
NC_007958.1         42001         48000         5999         SigHunt
NC_007958.1         268001         273000         4999         SigHunt
NC_007958.1         401001         411000         9999         SigHunt
NC_007958.1         674001         679000         4999         SigHunt
NC_007958.1         714001         719000         4999         SigHunt
NC_007958.1         720001         727000         6999         SigHunt
NC_007958.1         756001         763000         6999         SigHunt
NC_007958.1         834001         853000         18999         SigHunt
NC_007958.1         920001         925000         4999         SigHunt
NC_007958.1         1081001         1086000         4999         SigHunt
NC_007958.1         1174001         1183000         8999         SigHunt
NC_007958.1         1224001         1230000         5999         SigHunt
NC_007958.1         1349001         1356000         6999         SigHunt
NC_007958.1         1499001         1509000         9999         SigHunt
NC_007958.1         1742001         1747000         4999         SigHunt
NC_007958.1         1769001         1774000         4999         SigHunt
NC_007958.1         1793001         1800000         6999         SigHunt
NC_007958.1         1844001         1851000         6999         SigHunt
NC_007958.1         1885001         1892000         6999         SigHunt
NC_007958.1         2209001         2215000         5999         SigHunt
NC_007958.1         2375001         2385000         9999         SigHunt
NC_007958.1         2386001         2395000         8999         SigHunt
NC_007958.1         2428001         2436000         7999         SigHunt
NC_007958.1         2585001         2590000         4999         SigHunt
NC_007958.1         3046001         3053000         6999         SigHunt
NC_007958.1         3199001         3208000         8999         SigHunt
NC_007958.1         3247001         3252000         4999         SigHunt
NC_007958.1         3342001         3350000         7999         SigHunt
NC_007958.1         3524001         3529000         4999         SigHunt
NC_007958.1         3540001         3548000         7999         SigHunt
NC_007958.1         3734001         3741000         6999         SigHunt
NC_007958.1         3958001         3963000         4999         SigHunt
NC_007958.1         4289001         4296000         6999         SigHunt
NC_007958.1         4375001         4382000         6999         SigHunt
NC_007958.1         4395001         4404000         8999         SigHunt
NC_007958.1         4545001         4555000         9999         SigHunt
NC_008577.1         51001         56000         4999         SigHunt
NC_008577.1         191001         202000         10999         SigHunt
NC_008577.1         216001         221000         4999         SigHunt
NC_008577.1         225001         252000         26999         SigHunt
NC_008577.1         267001         272000         4999         SigHunt
NC_008577.1         425001         444000         18999         SigHunt
NC_008577.1         1099001         1105000         5999         SigHunt
NC_008577.1         1201001         1206000         4999         SigHunt
NC_008577.1         1461001         1471000         9999         SigHunt
NC_008577.1         1473001         1505000         31999         SigHunt
NC_008577.1         1594001         1605000         10999         SigHunt
NC_008577.1         1697001         1703000         5999         SigHunt
NC_008577.1         1892001         1905000         12999         SigHunt
NC_008577.1         2121001         2126000         4999         SigHunt
NC_008577.1         2409001         2421000         11999         SigHunt
NC_008577.1         3129001         3136000         6999         SigHunt
NC_008577.1         3143001         3150000         6999         SigHunt
NC_008577.1         3752001         3758000         5999         SigHunt
NC_008577.1         3800001         3805000         4999         SigHunt
NC_008577.1         4477001         4482000         4999         SigHunt
NC_008577.1         4544001         4551000         6999         SigHunt
NC_008577.1         4617001         4629000         11999         SigHunt
NC_008577.1         4692001         4697000         4999         SigHunt
NC_008577.1         4915001         4922000         6999         SigHunt
NC_008577.1         4948001         4953000         4999         SigHunt
NC_009256.1         23001         34000         10999         SigHunt
NC_009256.1         287001         292000         4999         SigHunt
NC_009256.1         345001         354000         8999         SigHunt
NC_009256.1         564001         573000         8999         SigHunt
NC_009256.1         699001         704000         4999         SigHunt
NC_009256.1         1475001         1480000         4999         SigHunt
NC_009256.1         1704001         1709000         4999         SigHunt
NC_009256.1         1713001         1727000         13999         SigHunt
NC_009256.1         2515001         2525000         9999         SigHunt
NC_009256.1         2555001         2563000         7999         SigHunt
NC_009256.1         2797001         2802000         4999         SigHunt
NC_009256.1         2950001         2985000         34999         SigHunt
NC_009256.1         3061001         3068000         6999         SigHunt
NC_009256.1         3440001         3446000         5999         SigHunt
NC_009256.1         3553001         3577000         23999         SigHunt
NC_009428.1         220001         226000         5999         SigHunt
NC_009428.1         732001         742000         9999         SigHunt
NC_009428.1         817001         822000         4999         SigHunt
NC_009428.1         842001         847000         4999         SigHunt
NC_009428.1         1106001         1113000         6999         SigHunt
NC_009428.1         1287001         1292000         4999         SigHunt
NC_009428.1         1335001         1340000         4999         SigHunt
NC_009428.1         1446001         1455000         8999         SigHunt
NC_009428.1         1557001         1562000         4999         SigHunt
NC_009428.1         1690001         1696000         5999         SigHunt
NC_009428.1         1704001         1713000         8999         SigHunt
NC_009428.1         1738001         1751000         12999         SigHunt
NC_009428.1         1820001         1827000         6999         SigHunt
NC_009428.1         1835001         1845000         9999         SigHunt
NC_009428.1         1891001         1896000         4999         SigHunt
NC_009428.1         2031001         2040000         8999         SigHunt
NC_009428.1         2092001         2098000         5999         SigHunt
NC_009428.1         2279001         2284000         4999         SigHunt
NC_009428.1         2478001         2483000         4999         SigHunt
NC_009428.1         2564001         2571000         6999         SigHunt
NC_009428.1         2572001         2578000         5999         SigHunt
NC_009428.1         2580001         2590000         9999         SigHunt
NC_009428.1         2747001         2752000         4999         SigHunt
NC_009428.1         2860001         2872000         11999         SigHunt
NC_009428.1         3012001         3022000         9999         SigHunt
NC_009428.1         3091001         3097000         5999         SigHunt
NC_009656.1         42001         59000         16999         SigHunt
NC_009656.1         74001         86000         11999         SigHunt
NC_009656.1         105001         113000         7999         SigHunt
NC_009656.1         122001         131000         8999         SigHunt
NC_009656.1         145001         150000         4999         SigHunt
NC_009656.1         480001         489000         8999         SigHunt
NC_009656.1         805001         814000         8999         SigHunt
NC_009656.1         833001         839000         5999         SigHunt
NC_009656.1         868001         873000         4999         SigHunt
NC_009656.1         2000001         2028000         27999         SigHunt
NC_009656.1         2519001         2528000         8999         SigHunt
NC_009656.1         2540001         2545000         4999         SigHunt
NC_009656.1         2668001         2677000         8999         SigHunt
NC_009656.1         2801001         2836000         34999         SigHunt
NC_009656.1         3132001         3145000         12999         SigHunt
NC_009656.1         3164001         3175000         10999         SigHunt
NC_009656.1         3531001         3540000         8999         SigHunt
NC_009656.1         3876001         3883000         6999         SigHunt
NC_009656.1         4557001         4564000         6999         SigHunt
NC_009656.1         4632001         4637000         4999         SigHunt
NC_009656.1         4766001         4771000         4999         SigHunt
NC_009656.1         4982001         4990000         7999         SigHunt
NC_009656.1         5304001         5312000         7999         SigHunt
NC_009656.1         5425001         5433000         7999         SigHunt
NC_009656.1         5484001         5489000         4999         SigHunt
NC_009656.1         5535001         5544000         8999         SigHunt
NC_009656.1         5565001         5573000         7999         SigHunt
NC_009656.1         6257001         6269000         11999         SigHunt
NC_009656.1         6352001         6360000         7999         SigHunt
NC_009665.1         42001         48000         5999         SigHunt
NC_009665.1         194001         206000         11999         SigHunt
NC_009665.1         218001         224000         5999         SigHunt
NC_009665.1         228001         252000         23999         SigHunt
NC_009665.1         270001         275000         4999         SigHunt
NC_009665.1         462001         467000         4999         SigHunt
NC_009665.1         658001         671000         12999         SigHunt
NC_009665.1         682001         691000         8999         SigHunt
NC_009665.1         699001         710000         10999         SigHunt
NC_009665.1         714001         719000         4999         SigHunt
NC_009665.1         878001         884000         5999         SigHunt
NC_009665.1         960001         966000         5999         SigHunt
NC_009665.1         1291001         1296000         4999         SigHunt
NC_009665.1         1712001         1718000         5999         SigHunt
NC_009665.1         2216001         2222000         5999         SigHunt
NC_009665.1         2342001         2348000         5999         SigHunt
NC_009665.1         2507001         2513000         5999         SigHunt
NC_009665.1         2614001         2621000         6999         SigHunt
NC_009665.1         3053001         3059000         5999         SigHunt
NC_009665.1         3060001         3065000         4999         SigHunt
NC_009665.1         3183001         3189000         5999         SigHunt
NC_009665.1         3303001         3308000         4999         SigHunt
NC_009665.1         3380001         3386000         5999         SigHunt
NC_009665.1         3468001         3481000         12999         SigHunt
NC_009665.1         3858001         3868000         9999         SigHunt
NC_009665.1         3875001         3885000         9999         SigHunt
NC_009665.1         3889001         3895000         5999         SigHunt
NC_009665.1         3909001         3915000         5999         SigHunt
NC_009665.1         4004001         4015000         10999         SigHunt
NC_009665.1         4364001         4369000         4999         SigHunt
NC_009665.1         4564001         4569000         4999         SigHunt
NC_009665.1         4655001         4661000         5999         SigHunt
NC_009665.1         4676001         4681000         4999         SigHunt
NC_009665.1         4731001         4753000         21999         SigHunt
NC_009665.1         4884001         4891000         6999         SigHunt
NC_009665.1         5078001         5083000         4999         SigHunt
NC_009665.1         5098001         5103000         4999         SigHunt
NC_009665.1         5197001         5203000         5999         SigHunt
NC_010084.1         259001         269000         9999         SigHunt
NC_010084.1         542001         559000         16999         SigHunt
NC_010084.1         702001         712000         9999         SigHunt
NC_010084.1         994001         1001000         6999         SigHunt
NC_010084.1         1134001         1140000         5999         SigHunt
NC_010084.1         1154001         1162000         7999         SigHunt
NC_010084.1         2180001         2186000         5999         SigHunt
NC_010084.1         2514001         2522000         7999         SigHunt
NC_010084.1         2681001         2689000         7999         SigHunt
NC_010084.1         2725001         2730000         4999         SigHunt
NC_010084.1         2732001         2738000         5999         SigHunt
NC_010084.1         2750001         2760000         9999         SigHunt
NC_010084.1         2830001         2847000         16999         SigHunt
NC_010084.1         3057001         3070000         12999         SigHunt
NC_010084.1         3107001         3116000         8999         SigHunt
NC_010084.1         3182001         3190000         7999         SigHunt
NC_010322.1         182001         195000         12999         SigHunt
NC_010322.1         206001         226000         19999         SigHunt
NC_010322.1         541001         548000         6999         SigHunt
NC_010322.1         597001         607000         9999         SigHunt
NC_010322.1         731001         737000         5999         SigHunt
NC_010322.1         961001         976000         14999         SigHunt
NC_010322.1         1528001         1536000         7999         SigHunt
NC_010322.1         1546001         1555000         8999         SigHunt
NC_010322.1         1826001         1861000         34999         SigHunt
NC_010322.1         2091001         2098000         6999         SigHunt
NC_010322.1         3089001         3094000         4999         SigHunt
NC_010322.1         3436001         3441000         4999         SigHunt
NC_010322.1         4630001         4675000         44999         SigHunt
NC_010322.1         4762001         4768000         5999         SigHunt
NC_010322.1         5216001         5223000         6999         SigHunt
NC_010322.1         5311001         5319000         7999         SigHunt
NC_010322.1         5354001         5360000         5999         SigHunt
NC_010322.1         5362001         5369000         6999         SigHunt
NC_010322.1         5384001         5391000         6999         SigHunt
NC_010322.1         6046001         6059000         12999         SigHunt
NC_010512.1         62001         67000         4999         SigHunt
NC_010512.1         371001         390000         18999         SigHunt
NC_010512.1         523001         529000         5999         SigHunt
NC_010512.1         780001         789000         8999         SigHunt
NC_010512.1         882001         889000         6999         SigHunt
NC_010512.1         1042001         1050000         7999         SigHunt
NC_010512.1         1205001         1210000         4999         SigHunt
NC_010515.1         684001         690000         5999         SigHunt
NC_010515.1         695001         703000         7999         SigHunt
NC_010515.1         1166001         1176000         9999         SigHunt
NC_010515.1         1218001         1224000         5999         SigHunt
NC_010515.1         1624001         1642000         17999         SigHunt
NC_010515.1         1686001         1694000         7999         SigHunt
NC_010515.1         1710001         1718000         7999         SigHunt
NC_010515.1         2009001         2018000         8999         SigHunt
NC_010515.1         2044001         2053000         8999         SigHunt
NC_010515.1         2110001         2121000         10999         SigHunt
NC_010515.1         2122001         2138000         15999         SigHunt
NC_010515.1         2164001         2173000         8999         SigHunt
NC_010515.1         2364001         2373000         8999         SigHunt
NC_010515.1         2472001         2481000         8999         SigHunt
NC_010515.1         2709001         2715000         5999         SigHunt
NC_011145.1         521001         526000         4999         SigHunt
NC_011145.1         533001         539000         5999         SigHunt
NC_011145.1         839001         846000         6999         SigHunt
NC_011145.1         1228001         1236000         7999         SigHunt
NC_011145.1         1398001         1409000         10999         SigHunt
NC_011145.1         1438001         1444000         5999         SigHunt
NC_011145.1         1523001         1529000         5999         SigHunt
NC_011145.1         1629001         1634000         4999         SigHunt
NC_011145.1         1738001         1749000         10999         SigHunt
NC_011145.1         2937001         2943000         5999         SigHunt
NC_011145.1         2978001         2983000         4999         SigHunt
NC_011145.1         3002001         3012000         9999         SigHunt
NC_011145.1         3126001         3131000         4999         SigHunt
NC_011145.1         3438001         3443000         4999         SigHunt
NC_011145.1         3754001         3776000         21999         SigHunt
NC_011145.1         3826001         3836000         9999         SigHunt
NC_011145.1         3848001         3853000         4999         SigHunt
NC_011145.1         3870001         3875000         4999         SigHunt
NC_011145.1         4174001         4181000         6999         SigHunt
NC_011145.1         4339001         4351000         11999         SigHunt
NC_011145.1         4374001         4383000         8999         SigHunt
NC_011145.1         4436001         4464000         27999         SigHunt
NC_011145.1         4634001         4648000         13999         SigHunt
NC_011145.1         4786001         4793000         6999         SigHunt
NC_011145.1         4965001         4980000         14999         SigHunt
