Accession numbers      Start        End         Length       Prediction method
NC_007434.1         556337         563392         7055         IslandPath-DIMOB
NC_007434.1         792916         806258         13342         IslandPath-DIMOB
NC_007434.1         1006575         1021355         14780         IslandPath-DIMOB
NC_007434.1         1315887         1345398         29511         IslandPath-DIMOB
NC_007434.1         1715407         1825069         109662         IslandPath-DIMOB
NC_007434.1         1833085         1857410         24325         IslandPath-DIMOB
NC_007434.1         1909816         1942755         32939         IslandPath-DIMOB
NC_007434.1         2387882         2416985         29103         IslandPath-DIMOB
NC_007434.1         2476627         2503330         26703         IslandPath-DIMOB
NC_007434.1         3976762         4020400         43638         IslandPath-DIMOB
NC_007434.1         4088058         4121575         33517         IslandPath-DIMOB
NC_007435.1         196714         269061         72347         IslandPath-DIMOB
NC_007435.1         302814         321342         18528         IslandPath-DIMOB
NC_007435.1         745242         753362         8120         IslandPath-DIMOB
NC_007435.1         1114573         1120275         5702         IslandPath-DIMOB
NC_007435.1         1390858         1402967         12109         IslandPath-DIMOB
NC_007435.1         1449209         1496444         47235         IslandPath-DIMOB
NC_007435.1         2358772         2387217         28445         IslandPath-DIMOB
NC_007435.1         2704246         2724523         20277         IslandPath-DIMOB
NC_007761.1         246037         266444         20407         IslandPath-DIMOB
NC_007761.1         784527         815843         31316         IslandPath-DIMOB
NC_007761.1         1386634         1393819         7185         IslandPath-DIMOB
NC_007761.1         2048618         2116572         67954         IslandPath-DIMOB
NC_007778.1         1057231         1075747         18516         IslandPath-DIMOB
NC_007778.1         1841162         1874226         33064         IslandPath-DIMOB
NC_007778.1         3452086         3507828         55742         IslandPath-DIMOB
NC_007778.1         3752712         3806152         53440         IslandPath-DIMOB
NC_007778.1         3972609         3990679         18070         IslandPath-DIMOB
NC_007778.1         5106675         5116484         9809         IslandPath-DIMOB
NC_007958.1         7691         49962         42271         IslandPath-DIMOB
NC_007958.1         832216         855832         23616         IslandPath-DIMOB
NC_007958.1         917784         933618         15834         IslandPath-DIMOB
NC_007958.1         2203309         2222199         18890         IslandPath-DIMOB
NC_007958.1         2363306         2438936         75630         IslandPath-DIMOB
NC_007958.1         2537864         2557174         19310         IslandPath-DIMOB
NC_007958.1         3041015         3053233         12218         IslandPath-DIMOB
NC_007958.1         4049364         4091076         41712         IslandPath-DIMOB
NC_007958.1         4369058         4406221         37163         IslandPath-DIMOB
NC_008253.1         260349         270972         10623         IslandPath-DIMOB
NC_008253.1         295446         382149         86703         IslandPath-DIMOB
NC_008253.1         401189         408194         7005         IslandPath-DIMOB
NC_008253.1         1188067         1194987         6920         IslandPath-DIMOB
NC_008253.1         1199937         1242088         42151         IslandPath-DIMOB
NC_008253.1         1943750         1970980         27230         IslandPath-DIMOB
NC_008253.1         2019781         2099926         80145         IslandPath-DIMOB
NC_008253.1         2731073         2733881         2808         IslandPath-DIMOB
NC_008253.1         2834033         2848707         14674         IslandPath-DIMOB
NC_008253.1         3127271         3142141         14870         IslandPath-DIMOB
NC_008253.1         3152443         3197909         45466         IslandPath-DIMOB
NC_008253.1         3548081         3588076         39995         IslandPath-DIMOB
NC_008253.1         3948173         4024998         76825         IslandPath-DIMOB
NC_008253.1         4736780         4797766         60986         IslandPath-DIMOB
NC_008253.1         4817864         4837606         19742         IslandPath-DIMOB
NC_008577.1         1455552         1503399         47847         IslandPath-DIMOB
NC_008577.1         2120314         2143714         23400         IslandPath-DIMOB
NC_008577.1         2510700         2535403         24703         IslandPath-DIMOB
NC_008577.1         3126236         3151272         25036         IslandPath-DIMOB
NC_008577.1         3490196         3502495         12299         IslandPath-DIMOB
NC_008577.1         3954186         3969113         14927         IslandPath-DIMOB
NC_008577.1         4614586         4640873         26287         IslandPath-DIMOB
NC_009428.1         93041         117083         24042         IslandPath-DIMOB
NC_009428.1         127678         154907         27229         IslandPath-DIMOB
NC_009428.1         164570         181567         16997         IslandPath-DIMOB
NC_009428.1         305315         315749         10434         IslandPath-DIMOB
NC_009428.1         730078         826228         96150         IslandPath-DIMOB
NC_009428.1         838027         850816         12789         IslandPath-DIMOB
NC_009428.1         1380412         1404856         24444         IslandPath-DIMOB
NC_009428.1         1447648         1465578         17930         IslandPath-DIMOB
NC_009428.1         1841071         1868738         27667         IslandPath-DIMOB
NC_009428.1         1876677         1882580         5903         IslandPath-DIMOB
NC_009428.1         2156742         2168368         11626         IslandPath-DIMOB
NC_009428.1         2869008         2874088         5080         IslandPath-DIMOB
NC_009656.1         72850         156649         83799         IslandPath-DIMOB
NC_009656.1         357659         373350         15691         IslandPath-DIMOB
NC_009656.1         681892         693165         11273         IslandPath-DIMOB
NC_009656.1         706121         713029         6908         IslandPath-DIMOB
NC_009656.1         756818         765655         8837         IslandPath-DIMOB
NC_009656.1         1398451         1406377         7926         IslandPath-DIMOB
NC_009656.1         2441601         2450742         9141         IslandPath-DIMOB
NC_009656.1         2515268         2550813         35545         IslandPath-DIMOB
NC_009656.1         2778153         2834540         56387         IslandPath-DIMOB
NC_009656.1         3132267         3148311         16044         IslandPath-DIMOB
NC_009656.1         3155961         3167592         11631         IslandPath-DIMOB
NC_009656.1         3858973         3882974         24001         IslandPath-DIMOB
NC_009656.1         4560214         4577483         17269         IslandPath-DIMOB
NC_009656.1         5189635         5204774         15139         IslandPath-DIMOB
NC_009656.1         5295232         5298749         3517         IslandPath-DIMOB
NC_009656.1         5529073         5541839         12766         IslandPath-DIMOB
NC_009656.1         6231219         6270035         38816         IslandPath-DIMOB
NC_009665.1         642271         722113         79842         IslandPath-DIMOB
NC_009665.1         892679         908180         15501         IslandPath-DIMOB
NC_009665.1         953660         973471         19811         IslandPath-DIMOB
NC_009665.1         1962696         1993382         30686         IslandPath-DIMOB
NC_009665.1         2031989         2047344         15355         IslandPath-DIMOB
NC_009665.1         2209970         2245250         35280         IslandPath-DIMOB
NC_009665.1         2334403         2380052         45649         IslandPath-DIMOB
NC_009665.1         3026959         3037635         10676         IslandPath-DIMOB
NC_009665.1         3052812         3062124         9312         IslandPath-DIMOB
NC_009665.1         3523854         3536047         12193         IslandPath-DIMOB
NC_009665.1         3873297         3917426         44129         IslandPath-DIMOB
NC_009665.1         3992843         4011971         19128         IslandPath-DIMOB
NC_009665.1         4261570         4270459         8889         IslandPath-DIMOB
NC_009665.1         5079189         5106590         27401         IslandPath-DIMOB
NC_010084.1         7465         19456         11991         IslandPath-DIMOB
NC_010084.1         540918         560152         19234         IslandPath-DIMOB
NC_010084.1         701674         716097         14423         IslandPath-DIMOB
NC_010084.1         1281933         1289574         7641         IslandPath-DIMOB
NC_010084.1         1306852         1312950         6098         IslandPath-DIMOB
NC_010084.1         1913640         1923737         10097         IslandPath-DIMOB
NC_010084.1         1984189         2004605         20416         IslandPath-DIMOB
NC_010084.1         2012435         2022723         10288         IslandPath-DIMOB
NC_010084.1         2482041         2570942         88901         IslandPath-DIMOB
NC_010084.1         2677817         2689705         11888         IslandPath-DIMOB
NC_010084.1         2722549         2736821         14272         IslandPath-DIMOB
NC_010084.1         2809033         2853692         44659         IslandPath-DIMOB
NC_010084.1         3055241         3068638         13397         IslandPath-DIMOB
NC_010322.1         2725         68728         66003         IslandPath-DIMOB
NC_010322.1         548757         607980         59223         IslandPath-DIMOB
NC_010322.1         770668         785511         14843         IslandPath-DIMOB
NC_010322.1         1513597         1553540         39943         IslandPath-DIMOB
NC_010322.1         1823952         1864671         40719         IslandPath-DIMOB
NC_010322.1         3322940         3353258         30318         IslandPath-DIMOB
NC_010322.1         3831444         3889702         58258         IslandPath-DIMOB
NC_010322.1         4232126         4252315         20189         IslandPath-DIMOB
NC_010322.1         5300976         5323161         22185         IslandPath-DIMOB
NC_010322.1         5350717         5395130         44413         IslandPath-DIMOB
NC_010322.1         6045373         6068716         23343         IslandPath-DIMOB
NC_010512.1         875965         895360         19395         IslandPath-DIMOB
NC_010512.1         906520         924811         18291         IslandPath-DIMOB
NC_010512.1         954460         966848         12388         IslandPath-DIMOB
NC_010512.1         1022850         1051197         28347         IslandPath-DIMOB
NC_010515.1         679623         695626         16003         IslandPath-DIMOB
NC_010515.1         1123145         1142041         18896         IslandPath-DIMOB
NC_010515.1         1209521         1237018         27497         IslandPath-DIMOB
NC_010515.1         1381962         1423886         41924         IslandPath-DIMOB
NC_010515.1         1519290         1531980         12690         IslandPath-DIMOB
NC_010515.1         1624257         1706630         82373         IslandPath-DIMOB
NC_010515.1         2108190         2178025         69835         IslandPath-DIMOB
NC_010515.1         2457435         2464157         6722         IslandPath-DIMOB
NC_010515.1         2689691         2716646         26955         IslandPath-DIMOB
NC_011145.1         1497333         1516225         18892         IslandPath-DIMOB
NC_011145.1         1736252         1754611         18359         IslandPath-DIMOB
NC_011145.1         3437842         3449929         12087         IslandPath-DIMOB
NC_011145.1         3751541         3767327         15786         IslandPath-DIMOB
NC_011145.1         4443033         4474792         31759         IslandPath-DIMOB
NC_011145.1         4634277         4653035         18758         IslandPath-DIMOB
NC_002947.3         8394         36115         27721         IslandPath-DIMOB
NC_002947.3         743595         760089         16494         IslandPath-DIMOB
NC_002947.3         1273582         1284755         11173         IslandPath-DIMOB
NC_002947.3         1387896         1400024         12128         IslandPath-DIMOB
NC_002947.3         2144701         2230672         85971         IslandPath-DIMOB
NC_002947.3         2525757         2540787         15030         IslandPath-DIMOB
NC_002947.3         2584640         2635410         50770         IslandPath-DIMOB
NC_002947.3         2831225         2856570         25345         IslandPath-DIMOB
NC_002947.3         3405554         3415414         9860         IslandPath-DIMOB
NC_002947.3         3491348         3525149         33801         IslandPath-DIMOB
NC_002947.3         4406545         4420183         13638         IslandPath-DIMOB
NC_002947.3         4475931         4482981         7050         IslandPath-DIMOB
NC_002947.3         4492118         4502208         10090         IslandPath-DIMOB
NC_002947.3         4998316         5028923         30607         IslandPath-DIMOB
NC_002947.3         5038455         5051060         12605         IslandPath-DIMOB
NC_002947.3         5391084         5403324         12240         IslandPath-DIMOB
NC_002947.3         6126976         6179635         52659         IslandPath-DIMOB
