Accession numbers      Start        End         Length       Prediction method
NC_007761.1         786877         795259         8382         SIGI-HMM
NC_007761.1         1103524         1108917         5393         SIGI-HMM
NC_007761.1         1125303         1130314         5011         SIGI-HMM
NC_007761.1         1153311         1162761         9450         SIGI-HMM
NC_007761.1         2052065         2057287         5222         SIGI-HMM
NC_007761.1         2060798         2078002         17204         SIGI-HMM
NC_007761.1         2079765         2096582         16817         SIGI-HMM
NC_007761.1         3053075         3058535         5460         SIGI-HMM
NC_007761.1         3061354         3065977         4623         SIGI-HMM
NC_007761.1         3336259         3341501         5242         SIGI-HMM
NC_007778.1         210211         214485         4274         SIGI-HMM
NC_007778.1         1060476         1070166         9690         SIGI-HMM
NC_007778.1         1737800         1748408         10608         SIGI-HMM
NC_007778.1         2511631         2515781         4150         SIGI-HMM
NC_007778.1         2886586         2901426         14840         SIGI-HMM
NC_007778.1         2906811         2911190         4379         SIGI-HMM
NC_007778.1         3355889         3361898         6009         SIGI-HMM
NC_007778.1         3470661         3498759         28098         SIGI-HMM
NC_007778.1         3501019         3507828         6809         SIGI-HMM
NC_007778.1         3780879         3787352         6473         SIGI-HMM
NC_007778.1         3789128         3806152         17024         SIGI-HMM
NC_007778.1         4819161         4824021         4860         SIGI-HMM
NC_007958.1         27805         35345         7540         SIGI-HMM
NC_007958.1         69459         76196         6737         SIGI-HMM
NC_007958.1         416057         420262         4205         SIGI-HMM
NC_007958.1         836172         851354         15182         SIGI-HMM
NC_007958.1         2209291         2214403         5112         SIGI-HMM
NC_007958.1         2374933         2407660         32727         SIGI-HMM
NC_007958.1         2414492         2419847         5355         SIGI-HMM
NC_007958.1         2431151         2435313         4162         SIGI-HMM
NC_007958.1         2550900         2557174         6274         SIGI-HMM
NC_007958.1         2648071         2653218         5147         SIGI-HMM
NC_007958.1         2809441         2815050         5609         SIGI-HMM
NC_007958.1         2817595         2821719         4124         SIGI-HMM
NC_007958.1         3939652         3943775         4123         SIGI-HMM
NC_007958.1         4079885         4089679         9794         SIGI-HMM
NC_007958.1         4373401         4380315         6914         SIGI-HMM
NC_007958.1         4396942         4408427         11485         SIGI-HMM
NC_008253.1         15664         19896         4232         SIGI-HMM
NC_008253.1         238317         242411         4094         SIGI-HMM
NC_008253.1         305968         313170         7202         SIGI-HMM
NC_008253.1         334157         338704         4547         SIGI-HMM
NC_008253.1         341569         351055         9486         SIGI-HMM
NC_008253.1         378039         385417         7378         SIGI-HMM
NC_008253.1         392253         397743         5490         SIGI-HMM
NC_008253.1         401189         408194         7005         SIGI-HMM
NC_008253.1         1080203         1088441         8238         SIGI-HMM
NC_008253.1         1235499         1242755         7256         SIGI-HMM
NC_008253.1         1498503         1504739         6236         SIGI-HMM
NC_008253.1         1542066         1546393         4327         SIGI-HMM
NC_008253.1         1756437         1762054         5617         SIGI-HMM
NC_008253.1         1941588         1958455         16867         SIGI-HMM
NC_008253.1         1959764         1966326         6562         SIGI-HMM
NC_008253.1         1966955         1970980         4025         SIGI-HMM
NC_008253.1         2073281         2080872         7591         SIGI-HMM
NC_008253.1         2088872         2093672         4800         SIGI-HMM
NC_008253.1         2141235         2150859         9624         SIGI-HMM
NC_008253.1         2202754         2207915         5161         SIGI-HMM
NC_008253.1         2227456         2233294         5838         SIGI-HMM
NC_008253.1         2504073         2518720         14647         SIGI-HMM
NC_008253.1         2835592         2841254         5662         SIGI-HMM
NC_008253.1         2842376         2849725         7349         SIGI-HMM
NC_008253.1         2889019         2900067         11048         SIGI-HMM
NC_008253.1         2972904         2978133         5229         SIGI-HMM
NC_008253.1         3128357         3134254         5897         SIGI-HMM
NC_008253.1         3147148         3155873         8725         SIGI-HMM
NC_008253.1         3184702         3197909         13207         SIGI-HMM
NC_008253.1         3670112         3679538         9426         SIGI-HMM
NC_008253.1         3903464         3909612         6148         SIGI-HMM
NC_008253.1         3978076         3987241         9165         SIGI-HMM
NC_008253.1         3992554         4001511         8957         SIGI-HMM
NC_008253.1         4331765         4335912         4147         SIGI-HMM
NC_008253.1         4743388         4750210         6822         SIGI-HMM
NC_008253.1         4759661         4767897         8236         SIGI-HMM
NC_008253.1         4768692         4773295         4603         SIGI-HMM
NC_008253.1         4824566         4830196         5630         SIGI-HMM
NC_008253.1         4836716         4840716         4000         SIGI-HMM
NC_008253.1         4841715         4848166         6451         SIGI-HMM
NC_008577.1         1458282         1467916         9634         SIGI-HMM
NC_008577.1         1471427         1480666         9239         SIGI-HMM
NC_008577.1         1489340         1503399         14059         SIGI-HMM
NC_008577.1         1592670         1601691         9021         SIGI-HMM
NC_008577.1         1698103         1702371         4268         SIGI-HMM
NC_008577.1         2120314         2125307         4993         SIGI-HMM
NC_008577.1         2136268         2141865         5597         SIGI-HMM
NC_008577.1         2409836         2420771         10935         SIGI-HMM
NC_008577.1         2430156         2434672         4516         SIGI-HMM
NC_008577.1         2612819         2624742         11923         SIGI-HMM
NC_008577.1         2827860         2831923         4063         SIGI-HMM
NC_008577.1         3145167         3149577         4410         SIGI-HMM
NC_008577.1         3547630         3552383         4753         SIGI-HMM
NC_008577.1         3750577         3757994         7417         SIGI-HMM
NC_008577.1         4189840         4197252         7412         SIGI-HMM
NC_008577.1         4539288         4552542         13254         SIGI-HMM
NC_008577.1         4617891         4635972         18081         SIGI-HMM
NC_008577.1         4636729         4640873         4144         SIGI-HMM
NC_009428.1         734153         743935         9782         SIGI-HMM
NC_009428.1         1355910         1360207         4297         SIGI-HMM
NC_009656.1         78537         83269         4732         SIGI-HMM
NC_009656.1         90100         104630         14530         SIGI-HMM
NC_009656.1         105066         112732         7666         SIGI-HMM
NC_009656.1         125861         130675         4814         SIGI-HMM
NC_009656.1         132795         137050         4255         SIGI-HMM
NC_009656.1         141407         150540         9133         SIGI-HMM
NC_009656.1         482023         486297         4274         SIGI-HMM
NC_009656.1         707232         713029         5797         SIGI-HMM
NC_009656.1         1059792         1064527         4735         SIGI-HMM
NC_009656.1         2008270         2018629         10359         SIGI-HMM
NC_009656.1         2520342         2539215         18873         SIGI-HMM
NC_009656.1         2671048         2675048         4000         SIGI-HMM
NC_009656.1         3137332         3161883         24551         SIGI-HMM
NC_009656.1         3164510         3175084         10574         SIGI-HMM
NC_009656.1         3176540         3182847         6307         SIGI-HMM
NC_009656.1         3844916         3849130         4214         SIGI-HMM
NC_009656.1         3851178         3862120         10942         SIGI-HMM
NC_009656.1         3868165         3872405         4240         SIGI-HMM
NC_009656.1         4083721         4092124         8403         SIGI-HMM
NC_009656.1         4544571         4553074         8503         SIGI-HMM
NC_009656.1         4566763         4574755         7992         SIGI-HMM
NC_009656.1         4576782         4582799         6017         SIGI-HMM
NC_009656.1         4584785         4593452         8667         SIGI-HMM
NC_009656.1         4594078         4602167         8089         SIGI-HMM
NC_009656.1         4610934         4615199         4265         SIGI-HMM
NC_009656.1         4624744         4629135         4391         SIGI-HMM
NC_009656.1         4631370         4635418         4048         SIGI-HMM
NC_009656.1         4649727         4660121         10394         SIGI-HMM
NC_009656.1         5196110         5201907         5797         SIGI-HMM
NC_009656.1         5482565         5493596         11031         SIGI-HMM
NC_009656.1         5508935         5514202         5267         SIGI-HMM
NC_009656.1         5524871         5529076         4205         SIGI-HMM
NC_009656.1         5529344         5534858         5514         SIGI-HMM
NC_009656.1         6259736         6267374         7638         SIGI-HMM
NC_009656.1         6462100         6468609         6509         SIGI-HMM
NC_009665.1         642271         648248         5977         SIGI-HMM
NC_009665.1         702182         707216         5034         SIGI-HMM
NC_009665.1         714722         720506         5784         SIGI-HMM
NC_009665.1         1338653         1346134         7481         SIGI-HMM
NC_009665.1         1842086         1847180         5094         SIGI-HMM
NC_009665.1         1890371         1895228         4857         SIGI-HMM
NC_009665.1         2041051         2045667         4616         SIGI-HMM
NC_009665.1         2222502         2232190         9688         SIGI-HMM
NC_009665.1         2233825         2239443         5618         SIGI-HMM
NC_009665.1         2336148         2340840         4692         SIGI-HMM
NC_009665.1         2364429         2370278         5849         SIGI-HMM
NC_009665.1         2606943         2611481         4538         SIGI-HMM
NC_009665.1         2614480         2619812         5332         SIGI-HMM
NC_009665.1         3059786         3066385         6599         SIGI-HMM
NC_009665.1         3324387         3328646         4259         SIGI-HMM
NC_009665.1         3464527         3469294         4767         SIGI-HMM
NC_009665.1         3470716         3478527         7811         SIGI-HMM
NC_009665.1         3479501         3488574         9073         SIGI-HMM
NC_009665.1         3876284         3888681         12397         SIGI-HMM
NC_009665.1         3996695         4002601         5906         SIGI-HMM
NC_009665.1         4011165         4016117         4952         SIGI-HMM
NC_009665.1         4364757         4368887         4130         SIGI-HMM
NC_009665.1         5077871         5083454         5583         SIGI-HMM
NC_010084.1         10913         16889         5976         SIGI-HMM
NC_010084.1         702752         708822         6070         SIGI-HMM
NC_010084.1         1061869         1066074         4205         SIGI-HMM
NC_010084.1         1308330         1312950         4620         SIGI-HMM
NC_010084.1         2517556         2522587         5031         SIGI-HMM
NC_010084.1         2542650         2552649         9999         SIGI-HMM
NC_010084.1         2831405         2844562         13157         SIGI-HMM
NC_010084.1         3136343         3140503         4160         SIGI-HMM
NC_010322.1         8209         13734         5525         SIGI-HMM
NC_010322.1         20143         25413         5270         SIGI-HMM
NC_010322.1         35491         40213         4722         SIGI-HMM
NC_010322.1         589425         595884         6459         SIGI-HMM
NC_010322.1         597636         606574         8938         SIGI-HMM
NC_010322.1         774308         784414         10106         SIGI-HMM
NC_010322.1         1529343         1535041         5698         SIGI-HMM
NC_010322.1         1547273         1553109         5836         SIGI-HMM
NC_010322.1         3321141         3325978         4837         SIGI-HMM
NC_010322.1         3326465         3332121         5656         SIGI-HMM
NC_010322.1         3338758         3345271         6513         SIGI-HMM
NC_010322.1         3811556         3815990         4434         SIGI-HMM
NC_010322.1         4631733         4654899         23166         SIGI-HMM
NC_010322.1         4655791         4674640         18849         SIGI-HMM
NC_010322.1         5304068         5317904         13836         SIGI-HMM
NC_010322.1         5353455         5359968         6513         SIGI-HMM
NC_010322.1         5362263         5378955         16692         SIGI-HMM
NC_010322.1         5380099         5390779         10680         SIGI-HMM
NC_010322.1         6047157         6058080         10923         SIGI-HMM
NC_010512.1         117074         124824         7750         SIGI-HMM
NC_010512.1         474063         478171         4108         SIGI-HMM
NC_010512.1         889530         896547         7017         SIGI-HMM
NC_010512.1         906520         918292         11772         SIGI-HMM
NC_010512.1         920142         924811         4669         SIGI-HMM
NC_010512.1         1012983         1019224         6241         SIGI-HMM
NC_010512.1         1031552         1041467         9915         SIGI-HMM
NC_010515.1         686157         692115         5958         SIGI-HMM
NC_010515.1         1211527         1237018         25491         SIGI-HMM
NC_010515.1         1490032         1505887         15855         SIGI-HMM
NC_010515.1         1624257         1630682         6425         SIGI-HMM
NC_010515.1         1645024         1678490         33466         SIGI-HMM
NC_010515.1         1680450         1692227         11777         SIGI-HMM
NC_010515.1         1695943         1724209         28266         SIGI-HMM
NC_010515.1         1907912         1919164         11252         SIGI-HMM
NC_010515.1         2046764         2052758         5994         SIGI-HMM
NC_010515.1         2122530         2149724         27194         SIGI-HMM
NC_010515.1         2161891         2175855         13964         SIGI-HMM
NC_010515.1         2458334         2464157         5823         SIGI-HMM
NC_010515.1         2707545         2716646         9101         SIGI-HMM
NC_011145.1         884027         888828         4801         SIGI-HMM
NC_011145.1         1499365         1509950         10585         SIGI-HMM
NC_011145.1         1608683         1614176         5493         SIGI-HMM
NC_011145.1         1739799         1747911         8112         SIGI-HMM
NC_011145.1         3755127         3761332         6205         SIGI-HMM
NC_011145.1         3766293         3778217         11924         SIGI-HMM
NC_011145.1         3823273         3835588         12315         SIGI-HMM
NC_011145.1         4129272         4134330         5058         SIGI-HMM
NC_011145.1         4376849         4389711         12862         SIGI-HMM
NC_011145.1         4432435         4466655         34220         SIGI-HMM
NC_011145.1         4476396         4484937         8541         SIGI-HMM
NC_011145.1         4636853         4646115         9262         SIGI-HMM
NC_011145.1         4964853         4974471         9618         SIGI-HMM
NC_002947.3         16589         25570         8981         SIGI-HMM
NC_002947.3         747667         760089         12422         SIGI-HMM
NC_002947.3         1274567         1282908         8341         SIGI-HMM
NC_002947.3         1740682         1748233         7551         SIGI-HMM
NC_002947.3         2000060         2011433         11373         SIGI-HMM
NC_002947.3         2163140         2174026         10886         SIGI-HMM
NC_002947.3         2179469         2203313         23844         SIGI-HMM
NC_002947.3         2204824         2227401         22577         SIGI-HMM
NC_002947.3         2816250         2821331         5081         SIGI-HMM
NC_002947.3         2835657         2839894         4237         SIGI-HMM
NC_002947.3         2855122         2860222         5100         SIGI-HMM
NC_002947.3         3409970         3415107         5137         SIGI-HMM
NC_002947.3         3417237         3421853         4616         SIGI-HMM
NC_002947.3         3498302         3504571         6269         SIGI-HMM
NC_002947.3         3515484         3521847         6363         SIGI-HMM
NC_002947.3         3729031         3735107         6076         SIGI-HMM
NC_002947.3         4175320         4211076         35756         SIGI-HMM
NC_002947.3         4211656         4233323         21667         SIGI-HMM
NC_002947.3         4371062         4378176         7114         SIGI-HMM
NC_002947.3         4411465         4416058         4593         SIGI-HMM
NC_002947.3         4475931         4481457         5526         SIGI-HMM
NC_002947.3         4489218         4493639         4421         SIGI-HMM
NC_002947.3         4495259         4501061         5802         SIGI-HMM
NC_002947.3         4811757         4818099         6342         SIGI-HMM
NC_002947.3         4937007         4944640         7633         SIGI-HMM
NC_002947.3         5002216         5015737         13521         SIGI-HMM
NC_002947.3         5019116         5027683         8567         SIGI-HMM
NC_002947.3         5029362         5033565         4203         SIGI-HMM
NC_002947.3         5038455         5069304         30849         SIGI-HMM
NC_002947.3         5071132         5076809         5677         SIGI-HMM
NC_002947.3         6154870         6170294         15424         SIGI-HMM
